crop.species,age
Thymus_vulgaris,6.483145
Trachyspermum_roxburghianum,23.604151
Trapa_natans,1.89951
Trichosanthes_cucumerina,4.862128
Trichosanthes_kirilowii,4.557628
Trichosanthes_pilosa,2.318517
Trifolium_alexandrinum,0.383757
Trifolium_ambiguum,3.701834
Trifolium_fragiferum,3.381877
Trifolium_hybridum,3.822003
Trifolium_incarnatum,3.255427
Trifolium_pannonicum,17.57363
Trifolium_pratense,6.527552
Trifolium_repens,2.488162
Trifolium_resupinatum,17.573622
Trifolium_semipilosum,1.331586
Trifolium_subterraneum,17.57363
Trigonella_foenum-graecum,7.550438
Triphasia_trifolia,15.491982
Tripsacum_dactyloides,15.034077
Triticum_aestivum,2.211414
Triticum_monococcum,1.586398
Triticum_spelta,0.03
Triticum_sphaerococcum,NA
Triticum_timopheevii,2.575912
Triticum_turgidum,2.575912
Triticum_turgidum_subsp._carthlicum,1.586398
Triticum_turgidum_subsp._dicoccum,0.133767
Triticum_turgidum_subsp._durum,2.211415
Tropaeolum_leptophyllum,17.777266
Tropaeolum_majus,17.777266
Tropaeolum_tuberosum,17.777266
Tylosema_esculentum,1.869017
Typha_latifolia,10.347593
Ullucus_tuberosus,36.782131
Urena_lobata,12.953969
Urochloa_deflexa,6.620071
Vaccinium_ashei,10.02787
Vaccinium_corymbosum,7.200321
Vaccinium_macrocarpon,8.778295
Vaccinium_oxycoccos,10.02787
Valeriana_sambucifolia,8.722179
Valerianella_locusta,8.886512
Vangueria_madagascariensis,0.497007
