"Family","Species.ssp.var","common.name","wild.cultivated","Herbaceous.woody","Trait","VALUE","WR2toCrop","WR2toWR1","Both","Neither","Direction.WR2toCrop","Direction.WR2toWR1"
"Myrtaceae","Acca_sellowiana","Pineapple guava wild relative 2","Wild","Woody","Phyllotaxis","Opposite",0,0,0,1,"",""
"Myrtaceae","Acca_sellowiana","Pineapple guava","Cultivated","Woody","Branching","Branched",0,0,0,1,"",""
"Myrtaceae","Acca_sellowiana","Pineapple guava wild relative 2","Wild","Woody","Branching","Branched",0,0,0,1,"",""
"Myrtaceae","Acca_sellowiana","Pineapple guava","Cultivated","Woody","BranchingType","Monopodial",0,0,0,1,"",""
"Myrtaceae","Acca_sellowiana","Pineapple guava wild relative 2","Wild","Woody","BranchingType","Monopodial",0,0,0,1,"",""
"Myrtaceae","Acca_sellowiana","Pineapple guava","Cultivated","Woody","BranchingPosition","Mesotonic",0,0,0,1,"",""
"Myrtaceae","Acca_sellowiana","Pineapple guava wild relative 2","Wild","Woody","BranchingPosition","Mesotonic",0,0,0,1,"",""
"Myrtaceae","Acca_sellowiana","Pineapple guava","Cultivated","Woody","Flowering","Lateral",0,0,0,1,"",""
"Myrtaceae","Acca_sellowiana","Pineapple guava wild relative 2","Wild","Woody","Flowering","Lateral",0,0,0,1,"",""
"Myrtaceae","Acca_sellowiana","Pineapple guava","Cultivated","Woody","MeristemFunctioning","Indeterminate",0,0,0,1,"",""
"Myrtaceae","Acca_sellowiana","Pineapple guava wild relative 2","Wild","Woody","MeristemFunctioning","Indeterminate",0,0,0,1,"",""
"Myrtaceae","Acca_sellowiana","Pineapple guava","Cultivated","Woody","BranchingMechanism","Rhythmic",0,0,0,1,"",""
"Myrtaceae","Acca_sellowiana","Pineapple guava wild relative 2","Wild","Woody","BranchingMechanism","Rhythmic",0,0,0,1,"",""
"Myrtaceae","Acca_sellowiana","Pineapple guava","Cultivated","Woody","ShortShoots","Absent",0,0,0,1,"",""
